,text,advertiser_name,platform,words,m_label,
0,election day march 1 vote for a brighter future,JAIMY Z. BLANCO FOR CONGRESS CAMPAIGN,google,no words,no topic,
1,stand with captain sam brown let s restore accountability and leadership to washington captain sam brown fought for our country now he is ready to serve the people of nevada,SAM BROWN FOR NEVADA,google,no words,no topic,
2,let s make voting simpler more convenient and more accessible vote kurt for clerk in the march 1 democratic primary,Kurt Lockhart Campaign,google,no words,no topic,
3,texas s 29th congressional district,JAIMY Z. BLANCO FOR CONGRESS CAMPAIGN,google,no words,no topic,
4,let s make voting simpler more convenient and more accessible,Kurt Lockhart Campaign,google,no words,no topic,
5,vote for brandon williams republican for ny 22 patriot not a politician,Brandon for Congress NY 22,google,no words,no topic,
6,patriot not a politician,Brandon for Congress NY 22,google,no words,no topic,
7,shelley barineau is a constitutional conservative running for texas state house committed to securing our border reducing crime banning crt u0026 protecting your 2a right,SHELLEY BARINEAU CAMPAIGN,google,border,immigration,
8,i m campaigning for voter access in the face of statewide voter suppression let s make sure travis county has the shortest lines and highest turnout in texas,Kurt Lockhart Campaign,google,voter suppression,governance,
9,hegar will stand up for the tax payer and fight for government transparency learn more,Glenn A. Hegar,google,tax,economic,
10,vote for a brighter future election day march 1,JAIMY Z. BLANCO FOR CONGRESS CAMPAIGN,google,no words,no topic,
11,jody johnson is the proven conservative leader that tarrant county needs join our team today,JODY JOHNSON CAMPAIGN,google,no words,no topic,
12,true representative government begins with listening listening to your experiences obser as your senator i describe my job in three words listen learn lead,Angela Paxton Campaign,google,no words,no topic,
13,we can put an end to socialism and tyranny with your help get to know beth and her fight to secure our borders u0026 put americans first,BETH VAN DUYNE FOR CONGRESS,google,borders,immigration,
14,republican for harris county judge liberty minded conservative,ALEX MEALER FOR HARRIS COUNTY JUDGE,google,no words,no topic,
15,glenn hegar a true conservative defending faith family and freedom learn more,Glenn A. Hegar,google,no words,no topic,
16,as your senator i describe my job in three words listen learn lead true representative government begins with listening listening to your experiences obser,Angela Paxton Campaign,google,no words,no topic,
17,eric hohman will secure the border support our police and end vaccine mandates vote for eric in the march 1st republican primary,Hohman for Congress,google,"vaccine,police,border,secure the border,vaccine mandates","covid,immigration,safety",
18,congressman gohmert will fight voter fraud and ensure that elections are free and fair he will sue the biden administration and resume construction of trump s border wall,Louis B. Gohmert,google,border,immigration,
19,the houston chronicle officially endorses jay kleberg for land commissioner jay kleber will take a proactive role in conserving a resilient landscape learn more,JAY KLEBERG CAMPAIGN FOR TEXAS LAND COMMISSIONER,google,no words,no topic,
20,glenn hegar fighting for our god given rights and conservative principles learn more,Glenn A. Hegar,google,no words,no topic,
21,congressman cuellar is in a runoff vote early to re elect him on may 16th through 20th,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,google,no words,no topic,
22,krause shaped laws that punish violent criminals and ensure due process as state rep matt helped shape laws to fully fund police departments throughout texas,MATT KRAUSE CAMPAIGN,google,"due process,police departments,police,laws","governance,safety",
23,donate to my battle ready campaign to keep texas red donate to my campaign and help republicans win in 2022,KEN PAXTON,google,donate,donation,
24,make your voting plan today early voting starts feb 14 and election day is march 1 help jessica defeat one of the most right wing democrats in congress henry cuellar,JESSICA CISNEROS FOR CONGRESS,google,no words,no topic,
25,republican for texas governor proven conservative leadership no excuses republican for texas governor secure the border ban vax mandates end property taxes,DON HUFFINES CAMPAIGN,google,"border,taxes,secure the border","economic,immigration",
26,eva guzman u200b u200bthinks children should be given an app to learn about their racial bias eva guzman is too woke for texas act now to keep texas conservative,KEN PAXTON,google,racial,social and cultural,
27,glenn hegar will fight to reform spending reduce debt and limit government learn more,Glenn A. Hegar,google,"reform spending,reduce debt",economic,
28,glenn hegar is a sixth generation texan running for comptroller learn more here,Glenn A. Hegar,google,no words,no topic,
29,if we want action on the problems facing america we must fix or nix the filibuster mcconnell enriches his wealthy patrons and uses the filibuster to block everything else,Democracy Initiative,google,filibuster,governance,
30,hard work matters send a real conservative fighter to austin join today,BAILES FOR TEXAS CAMPAIGN,google,no words,no topic,
31,lifelong conservative successful businessman deep texas roots vote ben bius for tx12,BEN BIUS FOR TEXAS 12,google,businessman,economic,
32,the austin american statesman officially endorses jay kleberg for land commissioner as land commissioner jay kleberg will tackle climate change find out more,JAY KLEBERG CAMPAIGN FOR TEXAS LAND COMMISSIONER,google,"climate change,climate",environment,
33,the filibuster stands in the way we need to fix or nix the filibuster you can help,Democracy Initiative,google,filibuster,governance,
34,before trump takes the stage make sure his state allies know where you stand find out how to get your name added to president trump s state allies top supporter list,"REPUBLICAN STATE LEADERSHIP COMMITTEE, INC.",google,no words,no topic,
35,beth van duyne is running for re election in congress tx 24 and needs your support donate to trump endorsed republican beth van duyne for congress,BETH VAN DUYNE FOR CONGRESS,google,donate,donation,
36,jessica is building an america for all of us no matter who we are or where we come from rep henry cuellar is trump s favorite democrat that s why we re running to replace him,JESSICA CISNEROS FOR CONGRESS,google,no words,no topic,
37,congressman marc veasey officially endorses jay kleberg for land commissioner jay kleberg can lead the way in creating a more resilient texas learn more,JAY KLEBERG CAMPAIGN FOR TEXAS LAND COMMISSIONER,google,no words,no topic,
38,states are passing laws to silence voters federal standards would put a stop to it,Democracy Initiative,google,laws,governance,
39,as state rep matt helped shape laws to fully fund police departments throughout texas krause shaped laws that punish violent criminals and ensure due process,MATT KRAUSE CAMPAIGN,google,"due process,police departments,police,laws","governance,safety",
40,vote for mike collier in the democratic primary for texas lieutenant governor mike will defend voting rights protect the right to choose and fix the damn grid,COLLIER COMMITTEE,google,"right to choose,voting rights","governance,social and cultural",
41,my office is here for the people of san antonio reach out today,US House of Representatives,google,no words,no topic,
42,texas needs to keep a conservative fighter in the house who puts america first,BETH VAN DUYNE FOR CONGRESS,google,no words,no topic,
43,combat veteran and conservative outsider running for congress in texas 28th district click here to join the fight to take back our country,Hohman for Congress,google,no words,no topic,
44,as tarrant county da matt krause will prosecute voter fraud,MATT KRAUSE CAMPAIGN,google,prosecute,governance,
45,jaimy blanco for congress 29th u s house of representatives election day march 1,JAIMY Z. BLANCO FOR CONGRESS CAMPAIGN,google,no words,no topic,
46,veterans issues taxes government spending and more my office is here to help subscribe to my newsletter today to keep up with the action in tx and dc,REP. PETE OLSON - U.S. HOUSE OF REPRESENTATIVES,google,"taxes,government spending,veterans issues","economic,military",
47,let s make sure travis county has the shortest lines and highest turnout in texas i m campaigning for voter access in the face of statewide voter suppression,Kurt Lockhart Campaign,google,voter suppression,governance,
48,with 36 years of law enforcement experience jody johnson knows how to keep us safe join our team and let s build a safer tarrant county,JODY JOHNSON CAMPAIGN,google,"law,a safer","governance,safety",
49,mike collier is running for lieutenant governor to defeat dan patrick and fight for texas,COLLIER COMMITTEE,google,no words,no topic,
50,congressman gohmert will fight voter fraud and ensure that elections are free and fair louie gohmert will restore honesty and integrity to the office of attorney general,Louis B. Gohmert,google,no words,no topic,
51,dawn s agenda stopping voter fraud securing the border banning the state income tax dawn passed a constitutional amendment permanently banning a state income tax learn more,Dawn C. Buckingham,google,"constitutional amendment,border,tax","economic,governance,immigration",
52,steve toth was rated 1 most conservative member in the texas house led the fight to teach founding principles in schools find your voting site u0026 vote early,Federation for Children PAC,google,no words,no topic,
53,louie gohmert will restore honesty and integrity to the office of attorney general congressman gohmert will fight voter fraud and ensure that elections are free and fair,Louis B. Gohmert,google,no words,no topic,
54,manage the permanent school fund to provide every child in texas with a quality education as texas first female land commissioner dawn will protect our proud texas history,Dawn C. Buckingham,google,"education,school",education,
55,beth van duyne is running for re election in congress tx 24 and is trump endorsed republican beth van duyne is running for tx 24 and is endorsed by president donald trump,BETH VAN DUYNE FOR CONGRESS,google,no words,no topic,
56,join our team and let s build a safer tarrant county tarrant county taxpayers need someone who will cut homeowner property taxes,JODY JOHNSON CAMPAIGN,google,"taxes,taxpayers,a safer","economic,safety",
57,louie gohmert will restore honesty and integrity to the office of attorney general texas attorney general is facing a federal investigation for bribery and corruption,Louis B. Gohmert,google,corruption,governance,
58,conservative candidate for texas state senate district 11 join our campaign today,Robin Armstrong for Senate,google,no words,no topic,
59,don t be left behind support a true conservative,BAILES FOR TEXAS CAMPAIGN,google,no words,no topic,
60,the filibuster is used to block protections for our democracy it s time to fix or nix it it s been a year since january 6 but the senate hasn t acted to protect our elections,Democracy Initiative,google,filibuster,governance,
61,it s been a year since january 6 but the senate hasn t acted to protect our elections the filibuster is used to block protections for our democracy it s time to fix or nix it,Democracy Initiative,google,filibuster,governance,
