277,when millions of texans were without power due to a winter storm ted cruz fled to cancún texans deserve a senator who sticks around to fight for us register to vote now,no words,no topic,winter storm/power,safety
241,let s be clear your vote decides the future of texas find your early vote location now make no mistake about it your early vote is critical find your early vote location here,no words,no topic,vote location,
154,caitlyn supports trans rights sports should be fair boys can t compete against girls caitlyn will do what is right let s unseat gavin newsom donate now,no words,no topic,trans rights/sports/donate,social and cultural/donation
128,caitlyn supports trans rights sports should be fair boys can t compete against girls caitlyn will now lie to appease hollywood step up at this critical moment donate now,no words,no topic,trans rights/sports,social and cultural
136,the republican party is freedom s last firewall donate to our cause to stop socialism the republican party is freedom s last firewall donate to our cause to stop socialism,no words,no topic,stop socialism/donate,governance/donation
240,contact congressman colin allred for assistance your local congressman may be able to help recover your stimulus check,no words,no topic,stimulus check,economy
111,sports are about fairness it is unfair for men to compete against females donate now caitlyn will bravely stand up for what is fair stand with her now donate today,no words,no topic,sports/unfair/donate,social and cultural/donation
109,sports are about fairness it is unfair for men to compete against females donate now caitlyn will go against the grain to do what is right save california contribute now,no words,no topic,sports/unfair/contribute,social and cultural
251,we don t have much time the tx 06 special election is on may 1st you can make the difference and keep socialist democrats policies out of texas,no words,no topic,socialist democrats policies,governance
261,lydia has the experience to bring more opportunities to small businesses in texas in congress she will fight for what s right and work across the aisle to get things done,no words,no topic,small businesses,economic
63,steve toth was rated 1 most conservative member in the texas house led the fight to teach founding principles in schools find your voting site u0026 vote early,no words,no topic,schools,education
242,join our team and let s build a safer tarrant county jody johnson is the proven conservative leader that tarrant county needs,no words,no topic,safer tarrant county,safety
176,with 36 years of law enforcement experience jody johnson knows how to keep us safe join our team and let s build a safer tarrant county,no words,no topic,safe/safer,safety
43,working to help north texans recover from the winter storm contact congressman colin allred for assistance,no words,no topic,recover from the winter storm,economic
167,find your polling location here and vote saturday may 1st stop nancy pelosi and socialists in washington,no words,no topic,polling place/socialists,
13,time is running out before election day in texas don t wait find your polling place now still unsure of where to cast your election day vote find your polling place here today,no words,no topic,polling place,
21,with your vote you ll put texas first don t wait find your early vote location now the best way to ensure your vote is secure vote early find your polling place here,no words,no topic,polling place,
54,on may 1st you will vote for the future of texas don t waste it find your polling place texas voters time to get ready to vote on election day find your polling place now,no words,no topic,polling place,
76,texas voters time to get ready to vote on election day find your polling place now your fellow texans are counting on you to vote on july 27th find your polling place now,no words,no topic,polling place,
87,make your plan to secure your vote on election day by finding your polling place here your vote is your voice ensure it s heard on election day find your polling place today,no words,no topic,polling place,
148,deliver a win for the great state of texas with your early vote find your polling place make your plan to secure your texas early vote by finding your polling place today,no words,no topic,polling place,
170,ready to vote to put texas 1st ensure you are find your election day polling place here election day is may 1st no time to waste get ready to vote find your polling place now,no words,no topic,polling place,
196,make an election day plan to vote on may 1st find your polling place in texas today secure your vote on may 1st to defend the future of texas find your polling place here,no words,no topic,polling place,
115,president biden has smart solutions that will ensure order and justice republicans are playing games obstructing progress tell them work with president biden,no words,no topic,order and justice,governance
141,tell us who was tougher on china biden or trump don t wait the poll expires in 30 minutes respond right now,no words,no topic,on china,foreign policy
50,chip in today to help lizzie fight back against anti choice legislation in texas,no words,no topic,legislation,governance
,text,words,m_label,key_words,tags
225,louie gohmert will restore honesty and integrity to the office of attorney general ken paxton is under indictment for securities fraud,no words,no topic,honesty/integrity,governance
284,we must stop joe biden and his corrupt democratic colleagues give now all patriots need to step up and donate immediately,no words,no topic,give now/donate,donation
300,donate to the gop today to help us out raise the corrupt democrats we must stop joe biden and his corrupt democratic colleagues give now,no words,no topic,give now,donation
177,when the power went out abbott failed and texans died tell texas leaders to step up and fix the texas power grid now,no words,no topic,fix the power grid,governance
74,leadership no excuses we will finish the wall and secure our elections republican for texas governor,no words,no topic,finish the wall,immigration/foreign policy
104,everyone deserves to compete in sports it is unfair for boys to compete against girls caitlyn will stand up for fairness stand with her as she works to save ca chip in 10,no words,no topic,fairness/sports,social and cultural
124,it would not have been fair for caitlyn to compete against women in the olympics men compete against women is about fairness sports are about fairness not equality,no words,no topic,fairness/sports,social and cultural
7,this campaign is about what we can achieve when we all come together help define the future of our great state join us by making a donation today,no words,no topic,donation,
195,leadership in texas has failed and texans deserve better together we can get texas back on the right track join us by making a donation today,no words,no topic,donation,donation
121,sports are about fairness it is unfair for men to compete against females donate now caitlyn will do what is right let s unseat gavin newsom donate now,no words,no topic,donate/sports/fairness,social and cultural/donation
82,donate today to support our conservative values for america stand with jason against liberal extremism and for american freedom,no words,no topic,donate/liberal extremism/freedom,donation/governance
204,donate now to help congressman chip roy keep america safe fighting to stop the chinese communist party from buying property in america,no words,no topic,donate/keep ameria safe/chinese communist party,safety/donation
2,caitlyn is the change california needs donate now don t wait no time to waste donate to caitlyn jenner for governor,no words,no topic,donate,
3,get rid of gavin once and for all caitlyn has a plan to save california donate today it s official newsom will be recalled caitlyn will put people over politics chip in,no words,no topic,donate,
12,ca has had enough of newsom caitlyn can take back our state donate now help take back california newsom is a disaster donate to make ca red,no words,no topic,donate,
18,chip in now to disrupt california caitlyn can do it we can fix california caitlyn has fresh ideas to revitalize our state donate now,no words,no topic,donate,
29,we must stop joe biden and his corrupt democratic colleagues give now donate to the gop today to help us out raise the corrupt democrats,no words,no topic,donate,
58,california is worth fighting for caitlyn will put people before politics caitlyn jenner is in donate to support her campaign for governor,no words,no topic,donate,donation
71,official donate to the official caitlyn for governor site now california needs caitlyn california is worth fighting for caitlyn jenner will put the people first,no words,no topic,donate,donation
75,demand leadership let us show that texans are a force to reckon with stand with texas support republican candidate for texas governor don huffines donate to show support,no words,no topic,donate,donation
78,donate to my battle ready campaign to keep texas red donate to my campaign and help republicans win in 2022,no words,no topic,donate,donation
80,mike collier is considering running for lieutenant governor against dan patrick again donate to help support his campaign,no words,no topic,donate,donation
81,donate to the official caitlyn for california site today help take back california caitlyn puts the people of california first california deserves caitlyn for governor,no words,no topic,donate,donation
88,mike collier is running as a democrat for texas lieutenant governor will you donate to support our campaign and defeat lieutenant governor dan patrick,no words,no topic,donate,donation
93,californians deserve leadership who is accountable to them caitlyn will be chip in now caitlyn will fight for you she is an outsider and a proven winner donate now,no words,no topic,donate,donation
106,california deserves better california deserves caitlyn support her official campaign now help caitlyn take back california from the radical democratic rule donate today,no words,no topic,donate,donation
107,democrats have ruled for too long support caitlyn and donate to take back california our voices have been heard caitlyn will shake up sacramento donate now,no words,no topic,donate,donation
112,urgent caitlyn needs your help to win ca every dollar helps join the team we need caitlyn donate now to save california,no words,no topic,donate,donation
113,california has been ruled by one party for too long donate to end the democrat reign caitlyn will put people before politics and special interests donate now,no words,no topic,donate,donation
117,donate to the official caitlyn for governor site now california needs your support california is worth fighting for caitlyn jenner will put the people first,no words,no topic,donate,donation
122,gavin newsom is a disaster caitlyn is the only outsider who can defeat him chip in now caitlyn will take on the sacramento politicians she will fight for us donate now,no words,no topic,donate,donation
131,newsom recall is official caitlyn can fix california donate now did you see the news gavin newsom will be recalled caitlyn can fix ca chip in 5,no words,no topic,donate,donation
134,caitlyn is an outsider sacramento special interests have no power over her donate now drain the ca swamp newsom is controlled by special interests caitlyn is not donate now,no words,no topic,donate,donation
147,republicans need you right now donate today,no words,no topic,donate,donation
150,california needs an honest leader with a clear vision support caitlyn jenner today caitlyn needs your support donate today to help save california from democratic reign,no words,no topic,donate,donation
156,are you tired of gavin newsom let s disrupt the status quo in ca donate now it s now or never caitlyn knows we must fix california donate to her campaign today,no words,no topic,donate,donation
185,newsom puts politics over progress caitlyn won t donate now we need caitlyn donate now to save california,no words,no topic,donate,donation
