,text,advertiser_name,platform
0,it is awesome to have the support of the california nurses association what they have been through in this pandemic is unreal if hospitals are going to continue not paying property taxes they must treat our nurses better,Braden Murphy for State Board of Equalization 2022  ,facebook
1,when the other candidate rides the coat tails of other establishment politicians i ride in on my experience dedication and support from the people transparency and credibility ad5 california,Jason Paletta for CA Secretary of State,facebook
2,seydi has worked with san fernando valley communities for 20 years she understands the issues we are facing and she s prepared to advocate for us in sacramento vote for seydi because she pledges toward fixing homelessness housing education small business access to healthcare most importantly she pledges to listen to her constituents vote for seydi alejandra morales for state senate district 20 starting may 9th,Seydi Alejandra Morales for Senate 2022,facebook
3,learn more about our efforts to find solutions that will protect our planet while building a more equitable future for ca families,Environmental Solutions Coalition,facebook
4,special interests like 𝗥𝗲𝗰𝗼𝗹𝗼𝗴𝘆 are exploiting environmental problems for their own profits the san francisco based garbage and recycling giant was fined 36 million in a public corruption scandal after it admitted to bribery allegations related to overcharging customers 100 million don t let special interests make up for lost profits by raising taxes on california taxpayers,Environmental Solutions Coalition,facebook
5,across our state working families and people on fixed incomes are already struggling to make ends meet tell your legislator today to focus on solutions to reduce plastic waste without raising taxes on hardworking families,Environmental Solutions Coalition,facebook
6,the open primary is on june 7th you can vote for any candidate on the ballot no matter the party let s all show the extremists who have taken over washington dc and california that together across party lines we are taking back our country there s a better way,Gonzales For Congress 2022,facebook
7,the cost of housing is skyrocketing and our communities are suffering vote rn jennifer esteen for ca state assembly,ESTEEN RN FOR ASSEMBLY 2022,facebook
8,rep david valadao is fighting to suspend the gas tax in california to help families and farmers just like governor larry hogan already did in maryland if you agree join an america united today and help fight for real solutions to america s problems,An America United,facebook
9,rep david valadao is fighting to make america less dependent on foreign energy an america united believes america should harness its resources to become energy independent do you agree sign up today,An America United,facebook
10,i am excited to announce my re election campaign for california s new 6th congressional district i look forward to continue working for sacramento county,BERA FOR CONGRESS,facebook
11,i ve officially filed to run in california s new 6th congressional district and would be honored to earn your vote in the june primary election let s keep pushing sacramento county forward,BERA FOR CONGRESS,facebook
12,i ll be honest we re behind where we need to be to hit this april fundraising goal defeating my trump backed republican opponent is going to take the solidarity and support of people from all walks of life i m running a people first campaign to bring real relief with medicare for all a green new deal and livable wages the california democratic party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for all will you join the cadp and chip in a few dollars to keep this fight going donations made today have the biggest impact on this campaign,DEREK MARSHALL FOR CONGRESS,facebook
13,california rifle pistol association is fighting at the supreme court but we need your immediate support to defend the second amendment,CALIFORNIA RIFLE & PISTOL ASSOCIATION INC,facebook
14,sheriffs shouldn t interfere with cause of death rulings in officer involved deaths but they do in ca ab1608 aims to fix that by making coroner and sheriff officers separate all families who lost their loved ones to police deserve unbiased medical investigations ten counties in california already do this make this statewide take action using the link in our bio follow us for the latest updates,ACLU California Action,facebook
