,ad_id,ad_url,report_url,text,words,m_label
0,CR442831434822975488,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR442831434822975488,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR442831434822975488&hl=en,our democrat opponent outraised us last quarter so we need your help immediately the georgia polls are a dead heat so please help us close the fundraising gap today,no words,no topic
1,CR217284766326587392,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR217284766326587392,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR217284766326587392&hl=en,our democrat opponent outraised us last quarter so we need your help immediately georgia will decide the senate majority in 2022 so help us close the fundraising gap,no words,no topic
2,CR144710676701511680,https://transparencyreport.google.com/political-ads/library/advertiser/AR97392987641741312/creative/CR144710676701511680,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR97392987641741312&creative_id=CR144710676701511680&hl=en,it s time to focus on the hard working families in connecticut and end the d c power grab george logan is the republican leadership washington and connecticut need donate today,donate,donation
3,CR402139334112706560,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR402139334112706560,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR402139334112706560&hl=en,help herschel walker reach his critical end of quarter fundraising goal donate to the official website of herschel walker for united states senate today,donate,donation
4,CR22875717373001728,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR22875717373001728,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR22875717373001728&hl=en,georgia will decide the senate majority in 2022 so help us close the fundraising gap our democrat opponent outraised us last quarter so we need your help immediately,no words,no topic
5,CR75909561227149312,https://transparencyreport.google.com/political-ads/library/advertiser/AR456301861012504576/creative/CR75909561227149312,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR456301861012504576&creative_id=CR75909561227149312&hl=en,we must prioritize lowering barriers between medical innovations u0026 patients who need them tell connecticut legislators to protect patients and lower out of pocket medicine costs,"out of pocket,medicine",social programs
6,CR441597782776610816,https://transparencyreport.google.com/political-ads/library/advertiser/AR456301861012504576/creative/CR441597782776610816,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR456301861012504576&creative_id=CR441597782776610816&hl=en,gov lamont is touting a proposal that would threaten innovation u0026 access for ct patients don t let ct politicians decide if some patients u0026 diseases are worth more than others,no words,no topic
7,CR26022519651696640,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR26022519651696640,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR26022519651696640&hl=en,the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide,no words,no topic
8,CR512656470500704256,https://transparencyreport.google.com/political-ads/library/advertiser/AR18316042652614656/creative/CR512656470500704256,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR18316042652614656&creative_id=CR512656470500704256&hl=en,leora is running for senate to retire dick blumenthal,no words,no topic
9,CR523746144778452992,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR523746144778452992,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR523746144778452992&hl=en,there s no greater priority than defending democracy you can help the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide,no words,no topic
