,ad_id,ad_url,advertiser_name,impressions,spend_usd
0,CR140552323725262848,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR140552323725262848,SAHAK NALBANDYAN,≤ 10k,≤ 100
1,CR194061156602609664,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR194061156602609664,SAHAK NALBANDYAN,≤ 10k,≤ 100
2,CR33151753046196224,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR33151753046196224,JARHETT BLONIEN,≤ 10k,≤ 100
3,CR391193420980289536,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR391193420980289536,JARHETT BLONIEN,≤ 10k,≤ 100
4,CR250989470642339840,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR250989470642339840,SAHAK NALBANDYAN,≤ 10k,≤ 100
5,CR10904784525590528,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR10904784525590528,"TURNING POINT USA, NFP",≤ 10k,≤ 100
6,CR365688324628676608,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR365688324628676608,JARHETT BLONIEN,≤ 10k,≤ 100
7,CR221464010023763968,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR221464010023763968,JARHETT BLONIEN,≤ 10k,≤ 100
8,CR482097194074112000,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR482097194074112000,JARHETT BLONIEN,≤ 10k,≤ 100
9,CR452248751914876928,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR452248751914876928,"TURNING POINT USA, NFP",≤ 10k,≤ 100
10,CR166116243948961792,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR166116243948961792,"TURNING POINT USA, NFP",≤ 10k,≤ 100
11,CR447423820014288896,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR447423820014288896,SAHAK NALBANDYAN,≤ 10k,≤ 100
12,CR527711533464027136,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR527711533464027136,"TURNING POINT USA, NFP",≤ 10k,≤ 100
13,CR242935273090973696,https://transparencyreport.google.com/political-ads/library/advertiser/AR194446432348930048/creative/CR242935273090973696,NRSC,≤ 10k,≤ 100
14,CR204196179909541888,https://transparencyreport.google.com/political-ads/library/advertiser/AR56689445138595840/creative/CR204196179909541888,MARKETFUEL SUBSCRIPTION SERVICES,≤ 10k,≤ 100
15,CR31058557784817664,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR31058557784817664,SAHAK NALBANDYAN,≤ 10k,≤ 100
16,CR140002842789281792,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR140002842789281792,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,≤ 10k,≤ 100
17,CR60191905069137920,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR60191905069137920,JARHETT BLONIEN,≤ 10k,≤ 100
18,CR20317703570980864,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR20317703570980864,JARHETT BLONIEN,≤ 10k,≤ 100
19,CR529813249940520960,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR529813249940520960,"TURNING POINT USA, NFP",≤ 10k,≤ 100
20,CR346436700660039680,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR346436700660039680,JARHETT BLONIEN,≤ 10k,≤ 100
21,CR507626479681536000,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR507626479681536000,JARHETT BLONIEN,≤ 10k,≤ 100
22,CR570654059598446592,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR570654059598446592,"TURNING POINT USA, NFP",≤ 10k,≤ 100
23,CR273670196500103168,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR273670196500103168,"TURNING POINT USA, NFP",≤ 10k,≤ 100
24,CR380212873231597568,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR380212873231597568,Lost Debate Inc,≤ 10k,≤ 100
25,CR519166953726672896,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR519166953726672896,JARHETT BLONIEN,≤ 10k,≤ 100
26,CR482496866550808576,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR482496866550808576,JARHETT BLONIEN,≤ 10k,≤ 100
27,CR231148371002261504,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR231148371002261504,Lost Debate Inc,≤ 10k,≤ 100
28,CR277196055412473856,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR277196055412473856,Lost Debate Inc,≤ 10k,≤ 100
29,CR235259582417469440,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR235259582417469440,Lost Debate Inc,≤ 10k,≤ 100
30,CR481276683521884160,https://transparencyreport.google.com/political-ads/library/advertiser/AR47529894803931136/creative/CR481276683521884160,RESOURCE MEDIA A NONPROFIT CORPORATION,≤ 10k,≤ 100
31,CR485034401948762112,https://transparencyreport.google.com/political-ads/library/advertiser/AR445223284930248704/creative/CR485034401948762112,Vincent Collis,10k-100k,≤ 100
32,CR426460806197018624,https://transparencyreport.google.com/political-ads/library/advertiser/AR52147465683468288/creative/CR426460806197018624,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",1M-10M,1k-50k
33,CR378314841284149248,https://transparencyreport.google.com/political-ads/library/advertiser/AR73365463119167488/creative/CR378314841284149248,MARK KELLY FOR SENATE,100k-1M,1k-50k
34,CR169329566681137152,https://transparencyreport.google.com/political-ads/library/advertiser/AR99697117336961024/creative/CR169329566681137152,RO FOR CONGRESS INC,10k-100k,1k-50k
35,CR509238088849948672,https://transparencyreport.google.com/political-ads/library/advertiser/AR73365463119167488/creative/CR509238088849948672,MARK KELLY FOR SENATE,10k-100k,1k-50k
36,CR223152859884027904,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR223152859884027904,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,10k-100k,100-1k
37,CR571561156691361792,https://transparencyreport.google.com/political-ads/library/advertiser/AR52147465683468288/creative/CR571561156691361792,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",≤ 10k,100-1k
38,CR29101701965283328,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR29101701965283328,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,10k-100k,100-1k
39,CR337733241492471808,https://transparencyreport.google.com/political-ads/library/advertiser/AR47383762836652032/creative/CR337733241492471808,MORE PERFECT UNION FOUNDATION,10k-100k,≤ 100
40,CR138615671431888896,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR138615671431888896,Lost Debate Inc,≤ 10k,100-1k
41,CR65526872926060544,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR65526872926060544,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,10k-100k,100-1k
42,CR331192246818832384,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR331192246818832384,SAHAK NALBANDYAN,10k-100k,100-1k
43,CR198428691666042880,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR198428691666042880,"TURNING POINT USA, NFP",≤ 10k,≤ 100
44,CR543655276700499968,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR543655276700499968,JARHETT BLONIEN,≤ 10k,≤ 100
45,CR145981712143220736,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR145981712143220736,"TURNING POINT USA, NFP",≤ 10k,≤ 100
46,CR59439976554692608,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR59439976554692608,Lost Debate Inc,≤ 10k,≤ 100
47,CR87203194911850496,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR87203194911850496,"TURNING POINT USA, NFP",≤ 10k,≤ 100
48,CR266581370157924352,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR266581370157924352,JARHETT BLONIEN,≤ 10k,≤ 100
49,CR462804063541526528,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR462804063541526528,"TURNING POINT USA, NFP",≤ 10k,≤ 100
50,CR63177491455410176,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR63177491455410176,JARHETT BLONIEN,≤ 10k,≤ 100
51,CR332410505702408192,https://transparencyreport.google.com/political-ads/library/advertiser/AR56689445138595840/creative/CR332410505702408192,MARKETFUEL SUBSCRIPTION SERVICES,≤ 10k,≤ 100
52,CR502765263897231360,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR502765263897231360,"TURNING POINT USA, NFP",≤ 10k,≤ 100
